"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Brevundimonas","DB_Control - DB_Treated","DB_Treated","Dunn",0.8086,"r (|Z|/sqrt(N))",-2.4259,0.0152698992448009,0.0458096977344026,"*"
"Akkermansia","DB_Control - DB_Treated","DB_Treated","Dunn",0.7767,"r (|Z|/sqrt(N))",-2.3301,0.0198007244646298,0.0594021733938894,"ns"
"Lactococcus","DB_Control - WT_Control","DB_Control","Dunn",0.8519,"r (|Z|/sqrt(N))",2.5556,0.0106005964653546,0.0318017893960639,"*"
"Christensenellaceae_R-7_group","DB_Control - WT_Control","DB_Control","Dunn",0.8086,"r (|Z|/sqrt(N))",2.4259,0.0152698992448009,0.0458096977344026,"*"
"Mucispirillum","DB_Control - WT_Control","WT_Control","Dunn",0.7984,"r (|Z|/sqrt(N))",-2.3951,0.0166140291573842,0.0498420874721526,"*"
"Parabacteroides","DB_Control - WT_Control","DB_Control","Dunn",0.7734,"r (|Z|/sqrt(N))",2.3203,0.020325103649766,0.060975310949298,"ns"
"Lactobacillus","DB_Control - WT_Control","DB_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Bacteroides","DB_Control - WT_Control","DB_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Blautia","DB_Control - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Muribaculum","DB_Control - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Eubacterium_ventriosum_group","DB_Control - WT_Control","WT_Control","Dunn",0.7235,"r (|Z|/sqrt(N))",-2.1706,0.0299617665775788,0.0898852997327364,"ns"
"Lachnoclostridium","DB_Control - WT_Control","WT_Control","Dunn",0.6736,"r (|Z|/sqrt(N))",-2.0209,0.0432901998037879,0.0649352997056819,"ns"
"Enterococcus","DB_Control - WT_Control","DB_Control","Dunn",0.646,"r (|Z|/sqrt(N))",1.9379,0.0526323025657407,0.078948453848611,"ns"
"Odoribacter","DB_Control - WT_Control","WT_Control","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657406,0.0789484538486109,"ns"
"Desulfovibrio","DB_Treated - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"GCA-900066575","DB_Treated - WT_Control","WT_Control","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657406,0.0789484538486109,"ns"
