"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Lactococcus","DB_Control - WT_Control","DB_Control","Dunn",0.8519,"r (|Z|/sqrt(N))",2.5556,0.0106005964653546,0.0318017893960639,"*"
"Brevundimonas","DB_Control - DB_Treated","DB_Treated","Dunn",0.8086,"r (|Z|/sqrt(N))",-2.4259,0.0152698992448009,0.0458096977344026,"*"
"Christensenellaceae_R-7_group","DB_Control - WT_Control","DB_Control","Dunn",0.8086,"r (|Z|/sqrt(N))",2.4259,0.0152698992448009,0.0458096977344026,"*"
"Mucispirillum","DB_Control - WT_Control","WT_Control","Dunn",0.7984,"r (|Z|/sqrt(N))",-2.3951,0.0166140291573842,0.0498420874721526,"*"
"Akkermansia","DB_Control - DB_Treated","DB_Treated","Dunn",0.7767,"r (|Z|/sqrt(N))",-2.3301,0.0198007244646298,0.0594021733938894,"ns"
"Parabacteroides","DB_Control - WT_Control","DB_Control","Dunn",0.7734,"r (|Z|/sqrt(N))",2.3203,0.020325103649766,0.060975310949298,"ns"
"Lactobacillus","DB_Control - WT_Control","DB_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Bacteroides","DB_Control - WT_Control","DB_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Blautia","DB_Control - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Desulfovibrio","DB_Treated - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Muribaculum","DB_Control - WT_Control","WT_Control","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Eubacterium_ventriosum_group","DB_Control - WT_Control","WT_Control","Dunn",0.7235,"r (|Z|/sqrt(N))",-2.1706,0.0299617665775788,0.0898852997327364,"ns"
"Intestinimonas","DB_Control - WT_Control","WT_Control","Dunn",0.7045,"r (|Z|/sqrt(N))",-2.1136,0.0345508309509491,0.103652492852847,"ns"
"Alloprevotella","DB_Control - WT_Control","DB_Control","Dunn",0.6957,"r (|Z|/sqrt(N))",2.087,0.0368884257070499,0.11066527712115,"ns"
"Enterococcus","DB_Treated - WT_Control","DB_Treated","Dunn",0.6957,"r (|Z|/sqrt(N))",2.087,0.0368884257070499,0.11066527712115,"ns"
"Odoribacter","DB_Treated - WT_Control","WT_Control","Dunn",0.6957,"r (|Z|/sqrt(N))",-2.087,0.0368884257070499,0.11066527712115,"ns"
"GCA-900066575","DB_Control - WT_Control","WT_Control","Dunn",0.6957,"r (|Z|/sqrt(N))",-2.087,0.0368884257070499,0.11066527712115,"ns"
"Lachnoclostridium","DB_Control - WT_Control","WT_Control","Dunn",0.6736,"r (|Z|/sqrt(N))",-2.0209,0.0432901998037879,0.0649352997056819,"ns"
"Lachnoclostridium","DB_Treated - WT_Control","WT_Control","Dunn",0.6736,"r (|Z|/sqrt(N))",-2.0209,0.0432901998037879,0.129870599411364,"ns"
"Acinetobacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.6736,"r (|Z|/sqrt(N))",2.0209,0.0432901998037879,0.129870599411364,"ns"
"UCG-010","DB_Treated - WT_Control","WT_Control","Dunn",0.6736,"r (|Z|/sqrt(N))",-2.0209,0.0432901998037879,0.129870599411364,"ns"
"Bosea","DB_Control - DB_Treated","DB_Treated","Dunn",0.6686,"r (|Z|/sqrt(N))",-2.0059,0.0448622711529147,0.134586813458744,"ns"
"A2","DB_Control - WT_Control","WT_Control","Dunn",0.657,"r (|Z|/sqrt(N))",-1.9711,0.0487175950641552,0.146152785192465,"ns"
"Micrococcus","DB_Treated - WT_Control","DB_Treated","Dunn",0.657,"r (|Z|/sqrt(N))",1.9711,0.0487175950641551,0.146152785192465,"ns"
"Rikenella","DB_Control - WT_Control","WT_Control","Dunn",0.6487,"r (|Z|/sqrt(N))",-1.9461,0.0516486028634198,0.154945808590259,"ns"
"Burkholderia-Caballeronia-Paraburkholderia","DB_Control - WT_Control","WT_Control","Dunn",0.6487,"r (|Z|/sqrt(N))",-1.9461,0.0516486028634198,0.154945808590259,"ns"
"Muribaculaceae","DB_Control - WT_Control","WT_Control","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657406,0.157896907697222,"ns"
"Prevotellaceae_UCG-001","DB_Control - DB_Treated","DB_Treated","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657407,0.157896907697222,"ns"
"Enterococcus","DB_Control - WT_Control","DB_Control","Dunn",0.646,"r (|Z|/sqrt(N))",1.9379,0.0526323025657407,0.078948453848611,"ns"
"Odoribacter","DB_Control - WT_Control","WT_Control","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657406,0.0789484538486109,"ns"
"GCA-900066575","DB_Treated - WT_Control","WT_Control","Dunn",0.646,"r (|Z|/sqrt(N))",-1.9379,0.0526323025657406,0.0789484538486109,"ns"
"UCG-010","DB_Control - WT_Control","WT_Control","Dunn",0.5988,"r (|Z|/sqrt(N))",-1.7964,0.0724380992504463,0.108657148875669,"ns"
"Lactobacillus","DB_Treated - WT_Control","DB_Treated","Dunn",0.5963,"r (|Z|/sqrt(N))",1.7889,0.0736382701203027,0.110457405180454,"ns"
"Lachnospiraceae_NK4A136_group","DB_Control - WT_Control","WT_Control","Dunn",0.5963,"r (|Z|/sqrt(N))",-1.7889,0.0736382701203027,0.220914810360908,"ns"
"Blautia","DB_Control - DB_Treated","DB_Treated","Dunn",0.5963,"r (|Z|/sqrt(N))",-1.7889,0.0736382701203027,0.110457405180454,"ns"
"Desulfovibrio","DB_Control - WT_Control","WT_Control","Dunn",0.5963,"r (|Z|/sqrt(N))",-1.7889,0.0736382701203027,0.110457405180454,"ns"
"Acetatifactor","DB_Treated - WT_Control","WT_Control","Dunn",0.5904,"r (|Z|/sqrt(N))",-1.7712,0.0765225004750593,0.229567501425178,"ns"
"Aerococcus","DB_Control - WT_Control","DB_Control","Dunn",0.5837,"r (|Z|/sqrt(N))",1.7512,0.0799131750999839,0.239739525299952,"ns"
"Intestinimonas","DB_Control - DB_Treated","DB_Treated","Dunn",0.5787,"r (|Z|/sqrt(N))",-1.7362,0.0825358802512053,0.123803820376808,"ns"
"Enterorhabdus","DB_Control - WT_Control","WT_Control","Dunn",0.5738,"r (|Z|/sqrt(N))",-1.7215,0.0851589113290409,0.255476733987123,"ns"
"Bosea","DB_Treated - WT_Control","DB_Treated","Dunn",0.5658,"r (|Z|/sqrt(N))",1.6973,0.0896329942678889,0.134449491401833,"ns"
"Aerococcus","DB_Control - DB_Treated","DB_Control","Dunn",0.5584,"r (|Z|/sqrt(N))",1.6751,0.0939241525857519,0.140886228878628,"ns"
"Chryseobacterium","DB_Control - DB_Treated","DB_Treated","Dunn",0.5559,"r (|Z|/sqrt(N))",-1.6678,0.0953523190745667,0.2860569572237,"ns"
"Brevundimonas","DB_Treated - WT_Control","DB_Treated","Dunn",0.5559,"r (|Z|/sqrt(N))",1.6678,0.0953523190745667,0.14302847861185,"ns"
"Mucispirillum","DB_Treated - WT_Control","WT_Control","Dunn",0.5489,"r (|Z|/sqrt(N))",-1.6467,0.0996282351847965,0.149442352777195,"ns"
"Rikenella","DB_Treated - WT_Control","WT_Control","Dunn",0.5489,"r (|Z|/sqrt(N))",-1.6467,0.0996282351847965,0.149442352777195,"ns"
"Burkholderia-Caballeronia-Paraburkholderia","DB_Control - DB_Treated","DB_Treated","Dunn",0.5489,"r (|Z|/sqrt(N))",-1.6467,0.0996282351847967,0.149442352777195,"ns"
"Muribaculaceae","DB_Treated - WT_Control","WT_Control","Dunn",0.5466,"r (|Z|/sqrt(N))",-1.6398,0.10105025592541,0.151575383888115,"ns"
