"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Muribaculaceae",1,1,0,"Positive"
"Streptococcus","Faecalibaculum",1,1,0,"Positive"
"Streptococcus","Romboutsia",1,-1,0,"Negative"
"Streptococcus","Clostridium_sensu_stricto_1",1,-1,0,"Negative"
"Streptococcus","Mucispirillum",1,-1,0,"Negative"
"Streptococcus","Lachnoclostridium",1,-1,0,"Negative"
"Streptococcus","Turicibacter",1,-1,0,"Negative"
"Muribaculaceae","Faecalibaculum",1,1,0,"Positive"
"Muribaculaceae","Romboutsia",1,-1,0,"Negative"
"Muribaculaceae","Clostridium_sensu_stricto_1",1,-1,0,"Negative"
"Muribaculaceae","Mucispirillum",1,-1,0,"Negative"
"Muribaculaceae","Lachnoclostridium",1,-1,0,"Negative"
"Muribaculaceae","Turicibacter",1,-1,0,"Negative"
"Lactobacillus","Candidatus_Arthromitus",1,-1,0,"Negative"
"Lactobacillus","Lachnospiraceae_NK4A136_group",1,1,0,"Positive"
"Lactobacillus","Coriobacteriaceae_UCG-002",1,-1,0,"Negative"
"Lactobacillus","Alistipes",1,1,0,"Positive"
"Lactobacillus","Others",1,1,0,"Positive"
"Candidatus_Arthromitus","Lachnospiraceae_NK4A136_group",1,-1,0,"Negative"
"Candidatus_Arthromitus","Coriobacteriaceae_UCG-002",1,1,0,"Positive"
"Candidatus_Arthromitus","Alistipes",1,-1,0,"Negative"
"Candidatus_Arthromitus","Others",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Coriobacteriaceae_UCG-002",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Alistipes",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Others",1,1,0,"Positive"
"Coriobacteriaceae_UCG-002","Alistipes",1,-1,0,"Negative"
"Coriobacteriaceae_UCG-002","Others",1,-1,0,"Negative"
"Helicobacter","Bacteroides",1,1,0,"Positive"
"Helicobacter","Colidextribacter",1,-1,0,"Negative"
"Bacteroides","Colidextribacter",1,-1,0,"Negative"
"Alistipes","Others",1,1,0,"Positive"
"Faecalibaculum","Romboutsia",1,-1,0,"Negative"
"Faecalibaculum","Clostridium_sensu_stricto_1",1,-1,0,"Negative"
"Faecalibaculum","Mucispirillum",1,-1,0,"Negative"
"Faecalibaculum","Lachnoclostridium",1,-1,0,"Negative"
"Faecalibaculum","Turicibacter",1,-1,0,"Negative"
"Romboutsia","Clostridium_sensu_stricto_1",1,1,0,"Positive"
"Romboutsia","Mucispirillum",1,1,0,"Positive"
"Romboutsia","Lachnoclostridium",1,1,0,"Positive"
"Romboutsia","Turicibacter",1,1,0,"Positive"
"Clostridium_sensu_stricto_1","Mucispirillum",1,1,0,"Positive"
"Clostridium_sensu_stricto_1","Lachnoclostridium",1,1,0,"Positive"
"Clostridium_sensu_stricto_1","Turicibacter",1,1,0,"Positive"
"Mucispirillum","Lachnoclostridium",1,1,0,"Positive"
"Mucispirillum","Turicibacter",1,1,0,"Positive"
"Lachnoclostridium","Turicibacter",1,1,0,"Positive"
