"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Muribaculaceae",1,-1,0,"Negative"
"Streptococcus","Pseudomonas",1,-1,0,"Negative"
"Streptococcus","Lactobacillus",1,1,0,"Positive"
"Streptococcus","Rodentibacter",1,1,0,"Positive"
"Streptococcus","Bacteroides",1,-1,0,"Negative"
"Streptococcus","Blautia",1,-1,0,"Negative"
"Streptococcus","Faecalibacterium",1,-1,0,"Negative"
"Streptococcus","Pseudarthrobacter",1,-1,0,"Negative"
"Streptococcus","Ruminococcus_torques_group",1,-1,0,"Negative"
"Streptococcus","Prevotella",1,-1,0,"Negative"
"Streptococcus","Streptomyces",1,-1,0,"Negative"
"Streptococcus","Romboutsia",1,-1,0,"Negative"
"Streptococcus","Escherichia-Shigella",1,-1,0,"Negative"
"Streptococcus","Nocardioides",1,-1,0,"Negative"
"Streptococcus","Subdoligranulum",1,-1,0,"Negative"
"Streptococcus","Others",1,-1,0,"Negative"
"Muribaculaceae","Pseudomonas",1,1,0,"Positive"
"Muribaculaceae","Lactobacillus",1,-1,0,"Negative"
"Muribaculaceae","Rodentibacter",1,-1,0,"Negative"
"Muribaculaceae","Bacteroides",1,1,0,"Positive"
"Muribaculaceae","Blautia",1,1,0,"Positive"
"Muribaculaceae","Faecalibacterium",1,1,0,"Positive"
"Muribaculaceae","Pseudarthrobacter",1,1,0,"Positive"
"Muribaculaceae","Ruminococcus_torques_group",1,1,0,"Positive"
"Muribaculaceae","Prevotella",1,1,0,"Positive"
"Muribaculaceae","Streptomyces",1,1,0,"Positive"
"Muribaculaceae","Romboutsia",1,1,0,"Positive"
"Muribaculaceae","Escherichia-Shigella",1,1,0,"Positive"
"Muribaculaceae","Nocardioides",1,1,0,"Positive"
"Muribaculaceae","Subdoligranulum",1,1,0,"Positive"
"Muribaculaceae","Others",1,1,0,"Positive"
"Pseudomonas","Lactobacillus",1,-1,0,"Negative"
"Pseudomonas","Rodentibacter",1,-1,0,"Negative"
"Pseudomonas","Bacteroides",1,1,0,"Positive"
"Pseudomonas","Blautia",1,1,0,"Positive"
"Pseudomonas","Faecalibacterium",1,1,0,"Positive"
"Pseudomonas","Pseudarthrobacter",1,1,0,"Positive"
"Pseudomonas","Ruminococcus_torques_group",1,1,0,"Positive"
"Pseudomonas","Prevotella",1,1,0,"Positive"
"Pseudomonas","Streptomyces",1,1,0,"Positive"
"Pseudomonas","Romboutsia",1,1,0,"Positive"
"Pseudomonas","Escherichia-Shigella",1,1,0,"Positive"
"Pseudomonas","Nocardioides",1,1,0,"Positive"
"Pseudomonas","Subdoligranulum",1,1,0,"Positive"
"Pseudomonas","Others",1,1,0,"Positive"
"Lactobacillus","Rodentibacter",1,1,0,"Positive"
"Lactobacillus","Bacteroides",1,-1,0,"Negative"
"Lactobacillus","Blautia",1,-1,0,"Negative"
"Lactobacillus","Faecalibacterium",1,-1,0,"Negative"
"Lactobacillus","Pseudarthrobacter",1,-1,0,"Negative"
"Lactobacillus","Ruminococcus_torques_group",1,-1,0,"Negative"
"Lactobacillus","Prevotella",1,-1,0,"Negative"
"Lactobacillus","Streptomyces",1,-1,0,"Negative"
"Lactobacillus","Romboutsia",1,-1,0,"Negative"
"Lactobacillus","Escherichia-Shigella",1,-1,0,"Negative"
"Lactobacillus","Nocardioides",1,-1,0,"Negative"
"Lactobacillus","Subdoligranulum",1,-1,0,"Negative"
"Lactobacillus","Others",1,-1,0,"Negative"
"Rodentibacter","Bacteroides",1,-1,0,"Negative"
"Rodentibacter","Blautia",1,-1,0,"Negative"
"Rodentibacter","Faecalibacterium",1,-1,0,"Negative"
"Rodentibacter","Pseudarthrobacter",1,-1,0,"Negative"
"Rodentibacter","Ruminococcus_torques_group",1,-1,0,"Negative"
"Rodentibacter","Prevotella",1,-1,0,"Negative"
"Rodentibacter","Streptomyces",1,-1,0,"Negative"
"Rodentibacter","Romboutsia",1,-1,0,"Negative"
"Rodentibacter","Escherichia-Shigella",1,-1,0,"Negative"
"Rodentibacter","Nocardioides",1,-1,0,"Negative"
"Rodentibacter","Subdoligranulum",1,-1,0,"Negative"
"Rodentibacter","Others",1,-1,0,"Negative"
"Ralstonia","Bifidobacterium",1,1,0,"Positive"
"Ralstonia","Staphylococcus",1,1,0,"Positive"
"Ralstonia","Acinetobacter",1,1,0,"Positive"
"Bifidobacterium","Staphylococcus",1,1,0,"Positive"
"Bifidobacterium","Acinetobacter",1,1,0,"Positive"
"Bacteroides","Blautia",1,1,0,"Positive"
"Bacteroides","Faecalibacterium",1,1,0,"Positive"
"Bacteroides","Pseudarthrobacter",1,1,0,"Positive"
"Bacteroides","Ruminococcus_torques_group",1,1,0,"Positive"
"Bacteroides","Prevotella",1,1,0,"Positive"
"Bacteroides","Streptomyces",1,1,0,"Positive"
"Bacteroides","Romboutsia",1,1,0,"Positive"
"Bacteroides","Escherichia-Shigella",1,1,0,"Positive"
"Bacteroides","Nocardioides",1,1,0,"Positive"
"Bacteroides","Subdoligranulum",1,1,0,"Positive"
"Bacteroides","Others",1,1,0,"Positive"
"Blautia","Faecalibacterium",1,1,0,"Positive"
"Blautia","Pseudarthrobacter",1,1,0,"Positive"
"Blautia","Ruminococcus_torques_group",1,1,0,"Positive"
"Blautia","Prevotella",1,1,0,"Positive"
"Blautia","Streptomyces",1,1,0,"Positive"
"Blautia","Romboutsia",1,1,0,"Positive"
"Blautia","Escherichia-Shigella",1,1,0,"Positive"
"Blautia","Nocardioides",1,1,0,"Positive"
"Blautia","Subdoligranulum",1,1,0,"Positive"
"Blautia","Others",1,1,0,"Positive"
"Staphylococcus","Acinetobacter",1,1,0,"Positive"
"Faecalibacterium","Pseudarthrobacter",1,1,0,"Positive"
"Faecalibacterium","Ruminococcus_torques_group",1,1,0,"Positive"
"Faecalibacterium","Prevotella",1,1,0,"Positive"
"Faecalibacterium","Streptomyces",1,1,0,"Positive"
"Faecalibacterium","Romboutsia",1,1,0,"Positive"
"Faecalibacterium","Escherichia-Shigella",1,1,0,"Positive"
"Faecalibacterium","Nocardioides",1,1,0,"Positive"
"Faecalibacterium","Subdoligranulum",1,1,0,"Positive"
"Faecalibacterium","Others",1,1,0,"Positive"
"Pseudarthrobacter","Ruminococcus_torques_group",1,1,0,"Positive"
"Pseudarthrobacter","Prevotella",1,1,0,"Positive"
"Pseudarthrobacter","Streptomyces",1,1,0,"Positive"
"Pseudarthrobacter","Romboutsia",1,1,0,"Positive"
"Pseudarthrobacter","Escherichia-Shigella",1,1,0,"Positive"
"Pseudarthrobacter","Nocardioides",1,1,0,"Positive"
"Pseudarthrobacter","Subdoligranulum",1,1,0,"Positive"
"Pseudarthrobacter","Others",1,1,0,"Positive"
"Ruminococcus_torques_group","Prevotella",1,1,0,"Positive"
"Ruminococcus_torques_group","Streptomyces",1,1,0,"Positive"
"Ruminococcus_torques_group","Romboutsia",1,1,0,"Positive"
"Ruminococcus_torques_group","Escherichia-Shigella",1,1,0,"Positive"
"Ruminococcus_torques_group","Nocardioides",1,1,0,"Positive"
"Ruminococcus_torques_group","Subdoligranulum",1,1,0,"Positive"
"Ruminococcus_torques_group","Others",1,1,0,"Positive"
"Prevotella","Streptomyces",1,1,0,"Positive"
"Prevotella","Romboutsia",1,1,0,"Positive"
"Prevotella","Escherichia-Shigella",1,1,0,"Positive"
"Prevotella","Nocardioides",1,1,0,"Positive"
"Prevotella","Subdoligranulum",1,1,0,"Positive"
"Prevotella","Others",1,1,0,"Positive"
"Streptomyces","Romboutsia",1,1,0,"Positive"
"Streptomyces","Escherichia-Shigella",1,1,0,"Positive"
"Streptomyces","Nocardioides",1,1,0,"Positive"
"Streptomyces","Subdoligranulum",1,1,0,"Positive"
"Streptomyces","Others",1,1,0,"Positive"
"Romboutsia","Escherichia-Shigella",1,1,0,"Positive"
"Romboutsia","Nocardioides",1,1,0,"Positive"
"Romboutsia","Subdoligranulum",1,1,0,"Positive"
"Romboutsia","Others",1,1,0,"Positive"
"Escherichia-Shigella","Nocardioides",1,1,0,"Positive"
"Escherichia-Shigella","Subdoligranulum",1,1,0,"Positive"
"Escherichia-Shigella","Others",1,1,0,"Positive"
"Nocardioides","Subdoligranulum",1,1,0,"Positive"
"Nocardioides","Others",1,1,0,"Positive"
"Subdoligranulum","Others",1,1,0,"Positive"
