"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Lachnospiraceae_NK4A136_group",1,-1,0,"Negative"
"Streptococcus","Corynebacterium",1,1,0,"Positive"
"Streptococcus","Prevotellaceae_UCG-001",1,1,0,"Positive"
"Streptococcus","Clostridia_UCG-014",1,1,0,"Positive"
"Streptococcus","Staphylococcus",1,1,0,"Positive"
"Streptococcus","Candidatus_Saccharimonas",1,1,0,"Positive"
"Streptococcus","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Muribaculaceae","Pseudomonas",1,1,0,"Positive"
"Muribaculaceae","Lactobacillus",1,1,0,"Positive"
"Muribaculaceae","Colidextribacter",1,-1,0,"Negative"
"Muribaculaceae","Mucispirillum",1,-1,0,"Negative"
"Muribaculaceae","Brevibacillus",1,1,0,"Positive"
"Muribaculaceae","Others",1,-1,0,"Negative"
"Pseudomonas","Lactobacillus",1,1,0,"Positive"
"Pseudomonas","Colidextribacter",1,-1,0,"Negative"
"Pseudomonas","Mucispirillum",1,-1,0,"Negative"
"Pseudomonas","Brevibacillus",1,1,0,"Positive"
"Pseudomonas","Others",1,-1,0,"Negative"
"Lactobacillus","Colidextribacter",1,-1,0,"Negative"
"Lactobacillus","Mucispirillum",1,-1,0,"Negative"
"Lactobacillus","Brevibacillus",1,1,0,"Positive"
"Lactobacillus","Others",1,-1,0,"Negative"
"Alloprevotella","Bacteroides",1,1,0,"Positive"
"Alloprevotella","Alistipes",1,1,0,"Positive"
"Alloprevotella","Cutibacterium",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Corynebacterium",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Prevotellaceae_UCG-001",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Clostridia_UCG-014",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Staphylococcus",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Candidatus_Saccharimonas",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Rikenellaceae_RC9_gut_group",1,1,0,"Positive"
"Corynebacterium","Prevotellaceae_UCG-001",1,1,0,"Positive"
"Corynebacterium","Clostridia_UCG-014",1,1,0,"Positive"
"Corynebacterium","Staphylococcus",1,1,0,"Positive"
"Corynebacterium","Candidatus_Saccharimonas",1,1,0,"Positive"
"Corynebacterium","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Bacteroides","Alistipes",1,1,0,"Positive"
"Bacteroides","Cutibacterium",1,-1,0,"Negative"
"Prevotellaceae_UCG-001","Clostridia_UCG-014",1,1,0,"Positive"
"Prevotellaceae_UCG-001","Staphylococcus",1,1,0,"Positive"
"Prevotellaceae_UCG-001","Candidatus_Saccharimonas",1,1,0,"Positive"
"Prevotellaceae_UCG-001","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Clostridia_UCG-014","Staphylococcus",1,1,0,"Positive"
"Clostridia_UCG-014","Candidatus_Saccharimonas",1,1,0,"Positive"
"Clostridia_UCG-014","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Alistipes","Cutibacterium",1,-1,0,"Negative"
"Staphylococcus","Candidatus_Saccharimonas",1,1,0,"Positive"
"Staphylococcus","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Colidextribacter","Mucispirillum",1,1,0,"Positive"
"Colidextribacter","Brevibacillus",1,-1,0,"Negative"
"Colidextribacter","Others",1,1,0,"Positive"
"Mucispirillum","Brevibacillus",1,-1,0,"Negative"
"Mucispirillum","Others",1,1,0,"Positive"
"Candidatus_Saccharimonas","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Brevibacillus","Others",1,-1,0,"Negative"
