"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Coriobacteriaceae_UCG-002",1,1,0,"Positive"
"Streptococcus","Helicobacter",1,-1,0,"Negative"
"Streptococcus","Cutibacterium",1,1,0,"Positive"
"Streptococcus","Faecalibaculum",1,1,0,"Positive"
"Streptococcus","Others",1,-1,0,"Negative"
"Muribaculaceae","Lactobacillus",1,-1,0,"Negative"
"Muribaculaceae","Candidatus_Arthromitus",1,-1,0,"Negative"
"Muribaculaceae","Lachnospiraceae_NK4A136_group",1,1,0,"Positive"
"Muribaculaceae","Bacteroides",1,1,0,"Positive"
"Lactobacillus","Candidatus_Arthromitus",1,1,0,"Positive"
"Lactobacillus","Lachnospiraceae_NK4A136_group",1,-1,0,"Negative"
"Lactobacillus","Bacteroides",1,-1,0,"Negative"
"Candidatus_Arthromitus","Lachnospiraceae_NK4A136_group",1,-1,0,"Negative"
"Candidatus_Arthromitus","Bacteroides",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Bacteroides",1,1,0,"Positive"
"Coriobacteriaceae_UCG-002","Helicobacter",1,-1,0,"Negative"
"Coriobacteriaceae_UCG-002","Cutibacterium",1,1,0,"Positive"
"Coriobacteriaceae_UCG-002","Faecalibaculum",1,1,0,"Positive"
"Coriobacteriaceae_UCG-002","Others",1,-1,0,"Negative"
"Helicobacter","Cutibacterium",1,-1,0,"Negative"
"Helicobacter","Faecalibaculum",1,-1,0,"Negative"
"Helicobacter","Others",1,1,0,"Positive"
"Alistipes","Romboutsia",1,-1,0,"Negative"
"Alistipes","Colidextribacter",1,1,0,"Positive"
"Alistipes","Clostridium_sensu_stricto_1",1,-1,0,"Negative"
"Alistipes","Mucispirillum",1,1,0,"Positive"
"Alistipes","Lachnoclostridium",1,1,0,"Positive"
"Alistipes","Turicibacter",1,-1,0,"Negative"
"Cutibacterium","Faecalibaculum",1,1,0,"Positive"
"Cutibacterium","Others",1,-1,0,"Negative"
"Faecalibaculum","Others",1,-1,0,"Negative"
"Romboutsia","Colidextribacter",1,-1,0,"Negative"
"Romboutsia","Clostridium_sensu_stricto_1",1,1,0,"Positive"
"Romboutsia","Mucispirillum",1,-1,0,"Negative"
"Romboutsia","Lachnoclostridium",1,-1,0,"Negative"
"Romboutsia","Turicibacter",1,1,0,"Positive"
"Colidextribacter","Clostridium_sensu_stricto_1",1,-1,0,"Negative"
"Colidextribacter","Mucispirillum",1,1,0,"Positive"
"Colidextribacter","Lachnoclostridium",1,1,0,"Positive"
"Colidextribacter","Turicibacter",1,-1,0,"Negative"
"Clostridium_sensu_stricto_1","Mucispirillum",1,-1,0,"Negative"
"Clostridium_sensu_stricto_1","Lachnoclostridium",1,-1,0,"Negative"
"Clostridium_sensu_stricto_1","Turicibacter",1,1,0,"Positive"
"Mucispirillum","Lachnoclostridium",1,1,0,"Positive"
"Mucispirillum","Turicibacter",1,-1,0,"Negative"
"Lachnoclostridium","Turicibacter",1,-1,0,"Negative"
