"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Pseudomonas",1,-1,0,"Negative"
"Streptococcus","Staphylococcus",1,1,0,"Positive"
"Streptococcus","Bacillus",1,-1,0,"Negative"
"Streptococcus","Escherichia-Shigella",1,1,0,"Positive"
"Streptococcus","Others",1,-1,0,"Negative"
"Muribaculaceae","Lactobacillus",1,1,0,"Positive"
"Muribaculaceae","Bifidobacterium",1,1,0,"Positive"
"Muribaculaceae","Methyloversatilis",1,1,0,"Positive"
"Muribaculaceae","Bacteroides",1,1,0,"Positive"
"Muribaculaceae","Blautia",1,1,0,"Positive"
"Muribaculaceae","Faecalibacterium",1,1,0,"Positive"
"Muribaculaceae","Ruminococcus_torques_group",1,1,0,"Positive"
"Muribaculaceae","Streptomyces",1,1,0,"Positive"
"Muribaculaceae","Romboutsia",1,1,0,"Positive"
"Muribaculaceae","67-14",1,1,0,"Positive"
"Muribaculaceae","Acinetobacter",1,-1,0,"Negative"
"Muribaculaceae","Subdoligranulum",1,1,0,"Positive"
"Pseudomonas","Staphylococcus",1,-1,0,"Negative"
"Pseudomonas","Bacillus",1,1,0,"Positive"
"Pseudomonas","Escherichia-Shigella",1,-1,0,"Negative"
"Pseudomonas","Others",1,1,0,"Positive"
"Lactobacillus","Bifidobacterium",1,1,0,"Positive"
"Lactobacillus","Methyloversatilis",1,1,0,"Positive"
"Lactobacillus","Bacteroides",1,1,0,"Positive"
"Lactobacillus","Blautia",1,1,0,"Positive"
"Lactobacillus","Faecalibacterium",1,1,0,"Positive"
"Lactobacillus","Ruminococcus_torques_group",1,1,0,"Positive"
"Lactobacillus","Streptomyces",1,1,0,"Positive"
"Lactobacillus","Romboutsia",1,1,0,"Positive"
"Lactobacillus","67-14",1,1,0,"Positive"
"Lactobacillus","Acinetobacter",1,-1,0,"Negative"
"Lactobacillus","Subdoligranulum",1,1,0,"Positive"
"Rodentibacter","Ralstonia",1,-1,0,"Negative"
"Rodentibacter","Prevotella",1,1,0,"Positive"
"Ralstonia","Prevotella",1,-1,0,"Negative"
"Bifidobacterium","Methyloversatilis",1,1,0,"Positive"
"Bifidobacterium","Bacteroides",1,1,0,"Positive"
"Bifidobacterium","Blautia",1,1,0,"Positive"
"Bifidobacterium","Faecalibacterium",1,1,0,"Positive"
"Bifidobacterium","Ruminococcus_torques_group",1,1,0,"Positive"
"Bifidobacterium","Streptomyces",1,1,0,"Positive"
"Bifidobacterium","Romboutsia",1,1,0,"Positive"
"Bifidobacterium","67-14",1,1,0,"Positive"
"Bifidobacterium","Acinetobacter",1,-1,0,"Negative"
"Bifidobacterium","Subdoligranulum",1,1,0,"Positive"
"Methyloversatilis","Bacteroides",1,1,0,"Positive"
"Methyloversatilis","Blautia",1,1,0,"Positive"
"Methyloversatilis","Faecalibacterium",1,1,0,"Positive"
"Methyloversatilis","Ruminococcus_torques_group",1,1,0,"Positive"
"Methyloversatilis","Streptomyces",1,1,0,"Positive"
"Methyloversatilis","Romboutsia",1,1,0,"Positive"
"Methyloversatilis","67-14",1,1,0,"Positive"
"Methyloversatilis","Acinetobacter",1,-1,0,"Negative"
"Methyloversatilis","Subdoligranulum",1,1,0,"Positive"
"Bacteroides","Blautia",1,1,0,"Positive"
"Bacteroides","Faecalibacterium",1,1,0,"Positive"
"Bacteroides","Ruminococcus_torques_group",1,1,0,"Positive"
"Bacteroides","Streptomyces",1,1,0,"Positive"
"Bacteroides","Romboutsia",1,1,0,"Positive"
"Bacteroides","67-14",1,1,0,"Positive"
"Bacteroides","Acinetobacter",1,-1,0,"Negative"
"Bacteroides","Subdoligranulum",1,1,0,"Positive"
"Blautia","Faecalibacterium",1,1,0,"Positive"
"Blautia","Ruminococcus_torques_group",1,1,0,"Positive"
"Blautia","Streptomyces",1,1,0,"Positive"
"Blautia","Romboutsia",1,1,0,"Positive"
"Blautia","67-14",1,1,0,"Positive"
"Blautia","Acinetobacter",1,-1,0,"Negative"
"Blautia","Subdoligranulum",1,1,0,"Positive"
"Staphylococcus","Bacillus",1,-1,0,"Negative"
"Staphylococcus","Escherichia-Shigella",1,1,0,"Positive"
"Staphylococcus","Others",1,-1,0,"Negative"
"Faecalibacterium","Ruminococcus_torques_group",1,1,0,"Positive"
"Faecalibacterium","Streptomyces",1,1,0,"Positive"
"Faecalibacterium","Romboutsia",1,1,0,"Positive"
"Faecalibacterium","67-14",1,1,0,"Positive"
"Faecalibacterium","Acinetobacter",1,-1,0,"Negative"
"Faecalibacterium","Subdoligranulum",1,1,0,"Positive"
"Bacillus","Escherichia-Shigella",1,-1,0,"Negative"
"Bacillus","Others",1,1,0,"Positive"
"Ruminococcus_torques_group","Streptomyces",1,1,0,"Positive"
"Ruminococcus_torques_group","Romboutsia",1,1,0,"Positive"
"Ruminococcus_torques_group","67-14",1,1,0,"Positive"
"Ruminococcus_torques_group","Acinetobacter",1,-1,0,"Negative"
"Ruminococcus_torques_group","Subdoligranulum",1,1,0,"Positive"
"Streptomyces","Romboutsia",1,1,0,"Positive"
"Streptomyces","67-14",1,1,0,"Positive"
"Streptomyces","Acinetobacter",1,-1,0,"Negative"
"Streptomyces","Subdoligranulum",1,1,0,"Positive"
"Romboutsia","67-14",1,1,0,"Positive"
"Romboutsia","Acinetobacter",1,-1,0,"Negative"
"Romboutsia","Subdoligranulum",1,1,0,"Positive"
"Escherichia-Shigella","Others",1,-1,0,"Negative"
"67-14","Acinetobacter",1,-1,0,"Negative"
"67-14","Subdoligranulum",1,1,0,"Positive"
"Acinetobacter","Subdoligranulum",1,-1,0,"Negative"
